紅2	44	46
	基湖路口	去	25.080249,121.566195
	仁寶大樓	去	25.079213,121.568497
	瑞光港墘路口	去	25.077016,121.573392
	瑞光路	去	25.074631,121.577663
	公館山	去	25.071988,121.580951
	麗寶大樓	去	25.070267,121.582580
	時報廣場	去	25.068542,121.582912
	民權大橋	去	25.067020,121.579100
	新湖三路口(台北花市)	去	25.062380,121.577420
	行愛路77巷口	去	25.062391,121.581489
	行愛路	去	25.064185,121.580149
	行忠行愛路口	去	25.065348,121.579323
	民權大橋	返	25.066900,121.579490
	時報廣場	返	25.068385,121.582849
	麗寶大樓	返	25.070391,121.582601
	公館山	返	25.071952,121.581177
	瑞陽三號公園	返	25.074830,121.581700
	文德二號公園	返	25.076670,121.583390
	湖光國宅	返	25.078590,121.580780
	西湖圖書館(湖光教會)	返	25.078989,121.577803
	港墘派出所	返	25.078636,121.576190
	瑞光港墘路口	返	25.077297,121.573107
	仁寶大樓	返	25.079213,121.568497
	基湖路口	返	25.080486,121.566049
	基湖站	返	25.079731,121.564607
	濱江國中	返	25.079991,121.561247
	基河二期國宅一	返	25.080018,121.559048
	基河二期國宅二	返	25.080035,121.557530
	敬業三路二	返	25.080713,121.556434
	敬業三路一	返	25.082706,121.556390
	捷運劍南路站	返	25.085163,121.555001
	自強隧道	返	25.086000,121.552000
	植福宮	返	25.081340,121.548540
	捷運大直站	返	25.079961,121.546951
	大直高中	返	25.079670,121.544210
	空軍司令部	返	25.079370,121.540220
	忠烈祠	返	25.078010,121.531840
	中央電台	返	25.077920,121.529860
	圓山大飯店	返	25.077200,121.528080
	劍潭	返	25.080858,121.524175
	捷運劍潭站(基河)	返	25.084849,121.524748
	小北街	返	25.090960,121.526830
	士林區農會	返	25.093022,121.525506
	士林國中	返	25.094668,121.523382
	士林區行政中心(中正)	返	25.093699,121.520285
	陽明高中	返	25.092030,121.517840
	社子市場	返	25.087325,121.509058
	社園里	返	25.088792,121.508058
	社子派出所	返	25.089475,121.505833
	社新里	返	25.089417,121.504475
	社子國小	返	25.089717,121.502958
	永倫里(延平)	返	25.090933,121.501008
	社子站	返	25.091790,121.500100
紅5	37	36
	捷運劍潭站(基河)	去	25.084842,121.525283
	小北街	去	25.090733,121.526925
	士林區農會	去	25.093050,121.525360
	捷運士林站(中正)	去	25.095008,121.525200
	福林國小	去	25.095950,121.528992
	士林官邸(中正)	去	25.096383,121.531392
	泰北中學	去	25.097333,121.533433
	岩山里	去	25.101842,121.537567
	岩山里一	去	25.103517,121.537058
	芝蘭新村	去	25.106992,121.536975
	華興中學	去	25.104233,121.538275
	嶺頭	去	25.102383,121.540342
	拔子埔	去	25.105400,121.544125
	永嶺	去	25.107167,121.545500
	永福(林語堂故居)	去	25.109233,121.547033
	陽明教養院	去	25.110567,121.548592
	福音	去	25.114667,121.550592
	陽明山國小	去	25.117625,121.551967
	明德新村	去	25.120275,121.552883
	白雲山莊	去	25.123083,121.551433
	新安	去	25.125033,121.550108
	下竹林	去	25.129608,121.547642
	格致國中	去	25.131525,121.546808
	山仔后派出所	去	25.136383,121.546225
	文化大學	去	25.138542,121.546467
	陽明天主堂	去	25.138870,121.545720
	文化大學一	去	25.137692,121.540450
	陽明天主堂	去	25.138870,121.545720
	磺溪底	去	25.141100,121.549375
	陽明山中國大飯店	去	25.142983,121.549267
	福壽橋	去	25.145900,121.549508
	聯勤陽明山招待所	去	25.148167,121.549225
	錫安堂	去	25.148970,121.549517
	教師中心	去	25.150683,121.549833
	中山樓	去	25.151220,121.549510
	陽明山	去	25.152275,121.547492
	陽明山總站	去	25.152300,121.547858
	陽明山總站	返	25.152300,121.547858
	陽明山	返	25.152275,121.547492
	中山樓	返	25.151390,121.549540
	教師中心	返	25.149800,121.549675
	聯勤陽明山招待所	返	25.148192,121.549242
	福壽橋	返	25.145883,121.549483
	陽明山中國大飯店	返	25.142992,121.549250
